Year,Length,Title,Genre,Actor,Actress,Director,Popularity,Awards,Image
1990,111,Tie Me Up! Tie Me Down!,Comedy,BanderasAntonio,AbrilVictoria,AlmodóvarPedro,68,No,NicholasCage.png
1991,113,High Heels,Comedy,BoséMiguel,AbrilVictoria,AlmodóvarPedro,68,No,NicholasCage.png
1983,104,Dead ZoneThe,Horror,WalkenChristopher,AdamsBrooke,CronenbergDavid,79,No,NicholasCage.png
1979,122,Cuba,Action,ConnerySean,AdamsBrooke,LesterRichard,6,No,seanConnery.png
1978,94,Days of Heaven,Drama,GereRichard,AdamsBrooke,MalickTerrence,14,No,NicholasCage.png
1983,140,Octopussy,Action,MooreRoger,AdamsMaud,GlenJohn,68,No,NicholasCage.png
1984,101,Target Eagle,Action,ConnorsChuck,AdamsMaud,LomaJosé Antonio de la,14,No,NicholasCage.png
1989,99,American Angels: Baptism of BloodThe,Drama,BergenRobert D.,AdamsTrudy,SebastianBeverly,28,No,NicholasCage.png
1985,104,Subway,Drama,LambertChristopher,AdjaniIsabelle,BessonLuc,6,No,NicholasCage.png
1990,149,Camille Claudel,Drama,DepardieuGérard,AdjaniIsabelle,NuyttenBruno,32,No,NicholasCage.png
1982,188,Fanny and Alexander,Drama,AhlstedtBörje,AdolphsonKristina,BergmanIngmar,81,Yes,Bergman.png
1982,117,Tragedy of a Ridiculous Man,Drama,TognazziUgo,AimeeAnouk,BertolucciBernardo,17,No,NicholasCage.png
1966,103,A Man & a Woman,Drama,TrintignantJean-Louis,AimeeAnouk,LelouchClaude,46,Yes,NicholasCage.png
1986,112,A Man & a Woman: Twenty Years Later,Drama,TrintignantJean-Louis,AimeeAnouk,LelouchClaude,49,No,NicholasCage.png
1966,103,Un Hombre y una Mujer,Drama,TrintignantJean-Louis,AimeeAnouk,LelouchClaude,6,Yes,NicholasCage.png
1985,112,Official StoryThe,Drama,AlterioHector,AleandroNorma,PuenzoLuiz,39,Yes,NicholasCage.png
1976,150,Lindbergh Kidnapping CaseThe,Drama,HopkinsAnthony,AlexanderDenise,KulikBuzz,51,No,AnthonyHopkins.png
1929,84,Blackmail,Mystery,LongdenJohn,AlgoodSara,HitchcockAlfred,2,No,alfredHitchcock.png
1963,109,Donovan's Reef,Comedy,WayneJohn,AllenElizabeth,FordJohn,62,No,johnWayne.png
1988,110,Tucker: The Man & His Dream,Drama,BridgesJeff,AllenJoan,CoppolaFrancis Ford,68,No,NicholasCage.png
1988,101,Scrooged,Comedy,MurrayBill,AllenKaren,DonnerRichard,15,No,NicholasCage.png
1981,116,Raiders of the Lost Ark,Action,FordHarrison,AllenKaren,SpielbergSteven,8,No,NicholasCage.png
1987,101,Running ManThe,Science Fiction,SchwarzeneggerArnold,AlonsoMaria Conchita,GlaserPaul Michael,31,No,NicholasCage.png
1991,105,Predator 2,Action,GloverDanny,AlonsoMaria Conchita,HopkinsStephen,79,No,NicholasCage.png
1988,127,Colors,Drama,PennSean,AlonsoMaria Conchita,HopperDennis,23,No,NicholasCage.png
1990,97,Zandalee,Drama,CageNicolas,AndersonErika,PillsburySam,80,No,NicholasCage.png
