region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,longmon,longten,internet,ebill,loglong,logequi,logcard,logwire,lninc,custcat,churn
2,13,44,1,9,64,4,5,0,0,2,3.7,37.45,0,0,1.30833282,,2.014903021,,4.158883083,1,1
3,11,33,1,7,136,5,5,0,0,6,4.4,42,0,0,1.481604541,,2.724579503,3.575150689,4.912654886,4,1
3,68,52,1,24,116,1,29,0,1,2,18.15,1300.6,0,0,2.898670561,,3.409496184,,4.753590191,3,0
2,33,33,0,12,33,2,0,0,1,1,9.45,288.8,0,0,2.246014742,,,,3.496507561,1,1
2,23,30,1,9,30,1,2,0,0,4,6.3,157.05,0,0,1.840549633,,,,3.401197382,3,0
2,41,39,0,17,78,2,16,0,1,1,11.8,487.4,0,0,2.468099531,,2.602689685,,4.356708827,3,0
3,45,22,1,2,19,2,4,0,1,5,10.9,504.5,1,1,2.388762789,,2.1690537,,2.944438979,2,1
2,38,35,0,5,76,2,10,0,0,3,6.05,239.55,1,1,1.800058272,3.914021008,3.146305132,4.172847624,4.33073334,4,0
3,45,59,1,7,166,4,31,0,0,5,9.75,449.05,0,0,2.277267285,,2.48490665,,5.111987788,3,0
1,68,41,1,21,72,1,22,0,0,3,24.15,1659.7,0,0,3.18428438,,2.803360381,,4.276666119,2,0
2,5,33,0,10,125,4,5,0,1,1,4.85,17.25,1,1,1.578978705,3.263849191,,,4.828313737,1,1
3,7,35,0,14,80,2,15,0,1,1,7.1,47.45,0,0,1.960094784,,3.16758253,,4.382026635,3,0
1,41,38,1,8,37,2,9,0,1,3,8.55,308.7,0,0,2.145931283,,3.731699451,,3.610917913,1,0
2,57,54,1,30,115,4,23,0,1,3,15.6,825.35,1,1,2.747270914,3.843744165,,4.111693201,4.744932128,4,1
2,9,46,0,3,25,1,8,0,1,2,4.4,36.8,0,0,1.481604541,,,,3.218875825,1,0
1,29,38,1,12,75,5,1,0,0,4,5.1,146.25,1,0,1.62924054,3.409496184,2.420368129,,4.317488114,2,0
3,60,57,0,38,162,2,30,0,0,1,16.15,946.9,0,0,2.78192005,3.443618098,3.401197382,,5.087596335,3,0
3,34,48,0,3,49,2,6,0,1,3,6.65,230.8,0,0,1.894616855,,,,3.891820298,3,0
2,1,24,0,3,20,1,3,0,0,1,1.05,1.05,0,0,0.048790164,,,,2.995732274,1,0
1,26,29,1,3,77,4,2,0,0,4,6.7,140.95,1,1,1.902107526,3.873282177,3.188416617,3.645449896,4.343805422,4,1
3,6,30,0,7,16,3,1,0,1,1,3.75,25.65,1,0,1.32175584,3.520460802,,2.928523524,2.772588722,2,1
1,68,52,1,17,120,1,24,0,0,2,20.7,1391.05,0,0,3.0301337,,3.091042453,,4.787491743,1,0
3,53,33,0,10,101,5,4,0,1,2,5.3,253.35,1,1,1.667706821,3.903990834,3.286534473,3.939638172,4.615120517,4,0
3,55,48,1,19,67,1,25,0,0,3,15.05,810.45,0,0,2.711377991,,3.305053521,,4.204692619,1,0
3,14,43,1,18,36,1,5,0,0,5,12.5,153.75,0,0,2.525728644,,2.890371758,,3.583518938,3,0
2,1,21,0,0,33,2,0,0,1,3,2.2,2.2,0,0,0.78845736,,3.701301974,,3.496507561,3,0
